crun,currID
0,70333001
1,70332081
2,70330487
3,70335415
4,70334215
5,70332405
6,77357740
7,123147930
8,123397245
9,JAZ_239
10,69884254
11,123397608
12,123148056
13,70330177
14,123397177
15,123397773
16,70331509
17,70331699
18,JAZ_48
19,123147878
20,70333157
21,123148140
22,69883948
23,70332705
24,70331553
25,JAZ_49
26,69885146
27,70330689
28,69884602
29,77357652
30,70331719
31,69883794
32,70332279
33,111861519
34,111861525
35,77357624
36,70331725
37,123398236
38,70333089
39,123396901
40,70332389
41,70334685
42,123148270
43,123397891
44,69885630
45,JAZ_47
46,70330821
47,70332035
48,77357772
49,70333005
50,69885996
51,69883656
52,70331249
53,69884532
54,69884898
55,69886406
56,69886416
57,70330753
58,77358056
59,70335435
60,70334105
61,70332815
62,70333347
63,JAZ_181
64,70335393
65,70333069
66,123397837
67,70334945
68,77357764
69,70332363
70,123396785
71,69883628
72,70331675
73,69884092
74,70330189
75,69883822
76,70334095
77,70335833
78,123396782
79,75473085
80,70332757
81,70330247
82,123147868
83,70332621
84,70334613
85,70334347
86,69885628
87,70335909
88,70331769
89,70332043
90,69886204
91,70335137
92,70332459
93,123148204
94,70331855
95,70332827
96,70330823
97,JAZ_195
98,70330769
99,70330635
100,69884198
101,123398023
102,70332829
103,70336257
104,70338353
105,70334033
106,70332575
107,JAZ_185
108,111861625
109,123148177
110,123397143
111,70334167
112,69885168
113,70335425
114,70331317
115,70330277
116,70335723
117,69886616
118,JAZ_250
119,69885962
120,70334561
121,70334447
122,69885370
123,69886038
124,69884552
125,70331265
126,70331903
127,77358110
128,70333829
129,70330243
130,69885270
131,123397569
132,70330157
133,70331807
134,70333889
135,70331701
136,70331045
137,70330657
138,69886404
139,70330369
140,70335065
141,70333187
142,69885072
143,69886736
144,69884044
145,77358094
146,70331747
147,70333403
148,123147861
149,123148173
150,69883688
151,69884376
152,123396932
153,69885404
154,70333565
155,70332135
156,69884282
157,JAZ_241
158,123397877
159,69884298
160,69884138
161,70334133
162,123148200
163,70330491
164,77358432
165,123397860
166,70331481
167,69883712
168,JAZ_177
169,70336207
170,75473069
171,123148119
172,70334729
173,70330771
174,69884848
175,70334827
176,123147952
177,123398111
178,69884916
179,123398168
180,69885818
181,70330407
182,70330497
183,69887044
184,123397597
185,70332167
186,70334353
187,70332601
188,123397200
189,123148025
190,69886310
191,69884334
192,70331815
193,69884918
194,123397549
195,70333219
196,69884084
197,69884654
198,123396705
199,70331777
200,75473289
201,70330551
202,70335205
203,70335615
204,70332479
205,70330919
206,75473661
207,123397293
208,77358050
209,69885824
210,69885192
211,70334149
212,111861485
213,123397792
214,70330649
215,123397482
216,70333869
217,123396740
218,69886540
219,69886858
220,70336057
221,69884626
222,70333191
223,123148215
224,123148272
225,123148066
226,69883734
227,70331435
228,69883694
229,69884344
230,70333287
231,70331547
232,JAZ_158
233,123147891
234,70332143
235,123398074
236,69886002
237,69886654
238,70336155
239,69883992
240,69886004
241,70333483
242,70332941
243,77357766
244,70331497
245,69883870
246,123396876
247,69886968
248,123397381
249,69885042
250,69885170
251,70332177
252,70332409
253,75473225
254,77357810
255,70335647
256,70334689
257,69885254
258,70333135
259,69884890
260,70331647
261,123397734
262,69886508
263,70333961
264,70334435
265,70333945
266,70335835
267,77357728
268,70334173
269,69886306
270,123397535
271,69886026
272,123148153
273,69885148
274,70331911
275,123397698
276,123148068
277,70330749
278,69883876
279,69886670
280,69885156
281,69887074
282,70331835
283,70331947
284,70335721
285,70336269
286,69885938
287,77357992
288,123148137
289,69884112
290,70333655
291,70331099
292,JAZ_111
293,69886260
294,70332627
295,70334843
296,123147864
297,69884562
298,123396853
299,69885930
300,70332413
301,70335375
302,70332517
303,70330251
304,69885936
305,123397473
306,123148147
307,69886064
308,70333301
309,123148067
310,70332061
311,77357678
312,JAZ_24
313,70335779
314,70331419
315,JAZ_197
316,70333479
317,70334573
318,JAZ_120
319,70333023
320,77357914
321,70330311
322,70334211
323,123148250
324,123397109
325,123397037
326,69883864
327,69886432
328,70333703
329,70333859
330,70334205
331,69886906
332,70333625
333,70334783
334,70334905
335,69884828
336,69884518
337,70335627
338,70334529
339,69886452
340,69884604
341,70333461
342,70334277
343,JAZ_237
344,70335955
345,70334713
346,77357674
347,69884616
348,70331837
349,70330901
350,70330505
351,70331471
352,69886506
353,69884032
354,70333771
355,JAZ_163
356,70331713
357,69886548
358,70330281
359,70330847
360,JAZ_34
361,70330747
362,75473301
363,ZJH_0
364,JAZ_223
365,70331945
366,69886830
367,123397756
368,70331145
369,JAZ_67
370,123397242
371,70333547
372,70330289
373,69884214
374,70335895
375,69883764
376,70330643
377,70331955
378,70336203
379,70333417
380,69884528
381,70333075
382,70333221
383,JAZ_198
384,70333827
385,70333571
386,123148157
387,69884682
