"crun","currID","force"
0,"70333001","FORCE_45.84375_-89.71875"
1,"70332081","FORCE_45.90625_-89.53125"
2,"70330487","FORCE_46.09375_-89.03125"
3,"70335415","FORCE_45.65625_-89.59375"
4,"70334215","FORCE_45.78125_-89.78125"
5,"70332405","FORCE_45.90625_-89.03125"
6,"77357740","FORCE_45.96875_-89.96875"
7,"123147930","FORCE_46.28125_-89.65625"
8,"123397245","FORCE_46.21875_-89.21875"
9,"JAZ_239","FORCE_45.65625_-89.34375"
10,"69884254","FORCE_46.21875_-90.09375"
11,"123397608","FORCE_46.21875_-89.28125"
12,"123148056","FORCE_46.21875_-89.65625"
13,"70330177","FORCE_46.21875_-89.28125"
14,"123397177","FORCE_46.28125_-89.28125"
15,"123397773","FORCE_46.21875_-89.46875"
16,"70331509","FORCE_45.96875_-89.15625"
17,"70331699","FORCE_45.96875_-89.34375"
18,"JAZ_48","FORCE_46.21875_-89.71875"
19,"123147878","FORCE_46.28125_-89.65625"
20,"70333157","FORCE_45.84375_-89.59375"
21,"123148140","FORCE_46.21875_-89.65625"
22,"69883948","FORCE_46.21875_-90.09375"
23,"70332705","FORCE_45.90625_-89.84375"
24,"70331553","FORCE_45.96875_-89.40625"
25,"JAZ_49","FORCE_46.21875_-89.84375"
26,"69885146","FORCE_46.09375_-89.65625"
27,"70330689","FORCE_46.09375_-89.21875"
28,"69884602","FORCE_46.15625_-89.90625"
29,"77357652","FORCE_46.03125_-90.28125"
30,"70331719","FORCE_45.96875_-89.21875"
31,"69883794","FORCE_46.28125_-89.84375"
32,"70332279","FORCE_45.90625_-89.21875"
33,"111861519","FORCE_46.03125_-88.96875"
34,"111861525","FORCE_46.03125_-88.90625"
35,"77357624","FORCE_46.03125_-90.09375"
36,"70331725","FORCE_45.96875_-89.71875"
37,"123398236","FORCE_46.15625_-89.46875"
38,"70333089","FORCE_45.84375_-89.90625"
39,"123396901","FORCE_46.28125_-89.34375"
40,"70332389","FORCE_45.90625_-89.65625"
41,"70334685","FORCE_45.71875_-89.59375"
42,"123148270","FORCE_46.15625_-89.59375"
43,"123397891","FORCE_46.21875_-89.46875"
44,"69885630","FORCE_46.09375_-89.53125"
45,"JAZ_47","FORCE_46.21875_-89.71875"
46,"70330821","FORCE_46.03125_-89.15625"
47,"70332035","FORCE_45.96875_-89.71875"
48,"77357772","FORCE_45.96875_-90.21875"
49,"70333005","FORCE_45.84375_-89.15625"
50,"69885996","FORCE_46.03125_-89.46875"
51,"69883656","FORCE_46.28125_-89.90625"
52,"70331249","FORCE_46.03125_-89.40625"
53,"69884532","FORCE_46.15625_-90.09375"
54,"69884898","FORCE_46.15625_-90.09375"
55,"69886406","FORCE_46.03125_-89.96875"
56,"69886416","FORCE_46.03125_-90.21875"
57,"70330753","FORCE_46.09375_-89.21875"
58,"77358056","FORCE_45.90625_-89.90625"
59,"70335435","FORCE_45.65625_-89.28125"
60,"70334105","FORCE_45.78125_-89.40625"
61,"70332815","FORCE_45.90625_-89.78125"
62,"70333347","FORCE_45.84375_-89.53125"
63,"JAZ_181","FORCE_45.84375_-89.21875"
64,"70335393","FORCE_45.65625_-89.40625"
65,"70333069","FORCE_45.84375_-89.59375"
66,"123397837","FORCE_46.21875_-89.34375"
67,"70334945","FORCE_45.65625_-89.21875"
68,"77357764","FORCE_45.96875_-89.96875"
69,"70332363","FORCE_45.90625_-89.71875"
70,"123396785","FORCE_46.28125_-89.28125"
71,"69883628","FORCE_46.28125_-89.90625"
72,"70331675","FORCE_45.96875_-89.40625"
73,"69884092","FORCE_46.21875_-89.65625"
74,"70330189","FORCE_46.21875_-89.28125"
75,"69883822","FORCE_46.28125_-89.90625"
76,"70334095","FORCE_45.78125_-89.59375"
77,"70335833","FORCE_45.65625_-89.59375"
78,"123396782","FORCE_46.28125_-89.40625"
79,"75473085","FORCE_45.96875_-88.96875"
80,"70332757","FORCE_45.90625_-89.78125"
81,"70330247","FORCE_46.15625_-89.21875"
82,"123147868","FORCE_46.28125_-89.65625"
83,"70332621","FORCE_45.84375_-89.21875"
84,"70334613","FORCE_45.71875_-89.09375"
85,"70334347","FORCE_45.71875_-89.65625"
86,"69885628","FORCE_46.09375_-89.59375"
87,"70335909","FORCE_45.59375_-89.53125"
88,"70331769","FORCE_45.96875_-89.59375"
89,"70332043","FORCE_45.90625_-89.40625"
90,"69886204","FORCE_46.03125_-89.59375"
91,"70335137","FORCE_45.71875_-89.71875"
92,"70332459","FORCE_45.90625_-89.71875"
93,"123148204","FORCE_46.21875_-89.59375"
94,"70331855","FORCE_45.96875_-89.71875"
95,"70332827","FORCE_45.90625_-89.78125"
96,"70330823","FORCE_46.09375_-89.40625"
97,"JAZ_195","FORCE_45.78125_-89.34375"
98,"70330769","FORCE_46.03125_-88.96875"
99,"70330635","FORCE_46.09375_-89.09375"
100,"69884198","FORCE_46.21875_-89.96875"
101,"123398023","FORCE_46.15625_-89.15625"
102,"70332829","FORCE_45.84375_-89.65625"
103,"70336257","FORCE_45.59375_-89.40625"
104,"70338353","FORCE_45.90625_-89.40625"
105,"70334033","FORCE_45.78125_-89.46875"
106,"70332575","FORCE_45.84375_-89.03125"
107,"JAZ_185","FORCE_45.84375_-89.34375"
108,"111861625","FORCE_45.96875_-88.90625"
109,"123148177","FORCE_46.21875_-89.65625"
110,"123397143","FORCE_46.28125_-89.46875"
111,"70334167","FORCE_45.78125_-89.78125"
112,"69885168","FORCE_46.09375_-89.84375"
113,"70335425","FORCE_45.65625_-89.46875"
114,"70331317","FORCE_46.03125_-89.40625"
115,"70330277","FORCE_46.15625_-89.15625"
116,"70335723","FORCE_45.65625_-89.46875"
117,"69886616","FORCE_46.03125_-90.09375"
118,"JAZ_250","FORCE_45.65625_-89.28125"
119,"69885962","FORCE_46.09375_-90.28125"
120,"70334561","FORCE_45.71875_-89.34375"
121,"70334447","FORCE_45.71875_-89.59375"
122,"69885370","FORCE_46.09375_-89.71875"
123,"69886038","FORCE_46.09375_-90.28125"
124,"69884552","FORCE_46.15625_-89.59375"
125,"70331265","FORCE_46.03125_-89.46875"
126,"70331903","FORCE_45.96875_-89.40625"
127,"77358110","FORCE_45.90625_-90.09375"
128,"70333829","FORCE_45.78125_-89.40625"
129,"70330243","FORCE_46.15625_-89.15625"
130,"69885270","FORCE_46.09375_-89.46875"
131,"123397569","FORCE_46.21875_-89.15625"
132,"70330157","FORCE_46.21875_-89.28125"
133,"70331807","FORCE_45.96875_-89.53125"
134,"70333889","FORCE_45.78125_-89.71875"
135,"70331701","FORCE_45.96875_-89.40625"
136,"70331045","FORCE_46.03125_-89.53125"
137,"70330657","FORCE_46.09375_-89.34375"
138,"69886404","FORCE_46.03125_-89.96875"
139,"70330369","FORCE_46.15625_-89.28125"
