FID_	OBJECTID	Id	Permanent_	GNIS_ID	Area_m2	WALA	NLCDV0	NLCDV11	NLCDV12	NLCDV21	NLCDV22	NLCDV23	NLCDV24	NLCDV31	NLCDV41	NLCDV42	NLCDV43	NLCDV52	NLCDV71	NLCDV81	NLCDV82	NLCDV90	NLCDV95	NLCDVSUM	percentWetland
NA	3542	0	ZJH_8	NA	295911.8112	11.57554396	0	30	0	1	0	0	0	0	286	0	4	0	0	0	0	8	0	329	0.0267558528428094
NA	3543	0	ZJH_6	NA	10546198.27	6.250523458	0	2427	0	223	0	0	0	0	6745	186	1240	26	12	0	0	841	22	11722	0.092845615922539
NA	3544	0	ZJH_3	NA	2541056.749	9.800209445	0	357	0	67	0	0	0	0	1823	0	319	6	0	0	0	242	5	2819	0.100324939073924
NA	3545	0	ZJH_7	NA	692208.0107	40.35216446	0	17	0	7	0	0	0	0	708	0	31	0	0	0	0	5	0	768	0.0066577896138482
NA	3546	0	ZJH_4	NA	398851.174	15.04146928	0	24	0	0	0	0	0	0	90	64	193	0	0	0	0	72	0	443	0.171837708830549
NA	3547	0	ZJH_0	1580982	21470835.53	402.8456924	0	649	0	589	0	0	0	0	4325	1064	2258	241	168	0	0	13648	904	23846	0.627322498598957
NA	3548	0	ZJH_5	NA	836320.7598	47.02708574	0	46	0	14	0	0	0	0	805	0	34	0	0	0	0	27	0	926	0.0306818181818182
NA	3549	0	ZJH_2	NA	192025.7975	7.816326355	0	38	0	0	0	0	0	0	84	0	61	0	7	0	0	23	0	213	0.131428571428571
NA	3550	0	ZJH_1	NA	5161996.089	132.6397227	0	27	0	0	0	0	0	0	637	0	216	0	10	0	0	2214	2629	5733	0.84875569575885
NA	1	0	111860783	1620962	8118316.157	34.56381991	0	471	0	132	0	0	0	0	6177	75	337	5	53	0	147	1213	416	9026	0.19041496201052
NA	2	0	111860793	1621780	2154839.629	13.42575609	0	186	0	26	0	0	0	0	1262	0	121	5	1	0	0	611	180	2392	0.35856754306437
NA	3	0	111860843	NA	1332361.533	91.16558628	0	9	0	0	0	0	0	18	850	156	132	0	6	0	0	312	0	1483	0.211668928086839
NA	4	0	111860857	NA	2397753.92	409.0735763	0	67	0	88	0	0	0	0	1026	565	312	0	32	0	0	500	69	2659	0.219521604938272
NA	5	0	111860869	NA	1889253.566	987.0834945	0	53	0	71	0	0	0	0	806	470	242	0	23	0	0	365	67	2097	0.211350293542074
NA	6	0	111860875	1621143	1562192.81	51.60784772	0	51	0	63	0	0	0	0	700	425	213	0	23	0	0	239	20	1734	0.153891859774213
NA	7	0	111860879	NA	21458.65678	14.14963255	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	18	0	22	0.818181818181818
NA	8	0	111861053	NA	3438359.002	95.65601625	0	42	0	133	0	0	0	0	2435	98	104	15	51	0	0	932	12	3822	0.24973544973545
NA	9	0	111861055	NA	238292.4831	5.743316791	0	39	0	0	0	0	0	3	121	0	3	0	0	0	0	87	15	268	0.445414847161572
NA	10	0	111861135	1619965	3117675.19	24.58461128	0	139	0	102	0	0	0	0	2408	119	284	0	197	0	0	214	6	3469	0.0660660660660661
NA	11	0	111861139	1619990	513176.0009	13.13625196	0	58	0	33	0	0	0	0	282	31	38	0	6	0	0	123	2	573	0.242718446601942
NA	12	0	111861263	1620585	3351785.162	9.600065635	0	395	0	134	0	0	0	0	2882	30	88	0	42	0	0	151	0	3722	0.0453862338443042
NA	13	0	111861399	1579564	7635877.946	38.48948827	0	225	0	137	0	0	0	35	5574	159	354	0	464	0	0	1394	134	8476	0.185189673978912
NA	14	0	111861455	NA	85285.98389	11.14058988	0	10	0	0	0	0	0	0	39	0	9	0	0	0	0	36	0	94	0.428571428571429
NA	15	0	111861461	1580270	355407.8464	2.549101464	0	163	0	63	8	0	0	0	97	17	31	0	2	0	0	15	0	396	0.0643776824034335
